종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
비상교육,"1,174","1,493","1,157","1,196"
빙그레,"3,858","4,051","3,253","3,139"
사조대림,"2,692","4,331","4,848","5,251"
사조동아원,"1,815","1,856","1,768","1,946"
사조산업,"3,554","3,257","3,069","3,207"
사조씨푸드,"1,378","1,140",798,875
사조오양,911,"1,041","1,307","1,267"
사조해표,"1,620","1,540","1,765","1,861"
SGC에너지,"1,974","1,780","9,795","8,298"
삼부토건,"2,761","2,592","3,888","4,464"
삼성SDI,"55,193","51,814","56,574","74,449"
삼성공조,"1,455","1,267","1,540","1,589"
삼성물산,"136,713","117,537","129,236","151,440"
삼성바이오로직스,"15,777","13,563","17,513","28,232"
삼성생명,"47,453","61,812","49,724","57,991"
삼성에스디에스,"58,818","63,838","65,812","75,760"
삼성엔지니어링,"29,522","29,018","31,359","44,425"
삼성전기,"35,253","35,075","41,503","45,983"
삼성전자,"1,746,974","1,813,853","1,982,156","2,181,632"
삼성제약,797,614,653,854
삼성중공업,"74,055","69,295","66,980","55,936"
삼성증권,"52,537","77,953","161,718","180,008"
삼성출판사,846,949,945,"1,086"
삼성카드,"12,805","6,493","14,418","14,697"
삼성화재,"21,011","18,750","20,756","17,337"
삼아알미늄,751,791,764,991
삼양사,"6,521","8,075","9,227","9,852"
삼양식품,"1,297","1,846","2,000","2,789"
삼양통상,"2,329","2,658","3,172","3,501"
삼양패키징,945,"1,155","1,438","1,852"
삼양홀딩스,"10,572","12,595","14,759","16,510"
삼영무역,"2,375","3,090","3,105","3,366"
삼영전자,"3,260","3,229","3,416","3,723"
삼영화학,447,454,459,513
삼원강재,"1,371","1,311","1,335","1,525"
삼익THK,"1,748","1,774","1,629","1,541"
삼익악기,"1,625","1,766","2,060","2,739"
삼일제약,592,792,725,767
삼정펄프,"1,262","1,065","1,346","1,386"
삼진제약,"1,635","1,501","1,469","1,399"
삼천리,"11,748","13,157","12,536","15,517"
DL건설,"6,957","7,439","11,046","12,410"
삼호개발,"1,587","1,796","1,959","1,724"
삼화왕관,622,546,570,508
삼화전기,706,670,774,972
삼화전자,179,170,140,159
삼화콘덴서,"1,390","1,014","1,200","1,479"
삼화페인트,"2,752","2,758","3,052","3,032"
상신브레이크,"2,362","2,495","2,493","2,969"
새론오토모티브,"1,500","1,407","1,391","1,505"
샘표,"1,226","1,339","1,763","2,100"
샘표식품,844,948,"1,366","1,696"
서연,"12,414","9,193","9,376","9,077"
서연이화,"8,532","7,904","8,097","7,718"
서울가스,"5,994","7,355","8,660","7,376"
서울식품,241,221,219,207
서원,893,915,968,"1,261"
서흥,"2,140","2,646","3,141","3,186"
선도전기,709,715,723,669
선진,"4,148","4,403","5,387","6,218"
SUN&L,"2,793","2,251","2,255","2,726"
성문전자,256,221,231,349
성보화학,"1,024",941,828,901
성신양회,"2,821","2,568","2,828","3,116"
성안,"1,431","1,570","1,051",496
성지건설,680,531,566,889
성창기업지주,857,806,787,740
세기상사,24,17,13,28
세방,"1,852","2,292","2,672","3,552"
세방전지,"7,886","8,719","9,739","10,576"
세아베스틸,"13,809","13,448","13,404","16,360"
세아제강지주,"12,848","12,852","11,716","17,115"
세아특수강,"3,232","3,742","3,681","4,694"
세아홀딩스,"22,206","23,263","22,719","28,246"
세우글로벌,347,362,395,414
세원이앤씨,"1,116","1,437","1,020","1,061"
세원정공,"3,651","2,492","2,634","2,777"
세이브존I&C,924,955,728,944
세종공업,"4,758","5,591","6,993","7,214"
세진중공업,864,"1,379","1,102","1,995"
세하,557,576,563,610
다이나믹디자인,700,522,736,749
송원산업,"3,916","3,988","4,122","6,284"
수산중공업,"1,006",859,"1,387","1,383"
한국수출포장,861,966,997,"1,253"
스카이라이프,"3,017","4,591","4,804","4,085"
신대양제지,"2,070","2,443","2,810","3,182"
신도리코,"7,668","7,747","7,469","8,750"
신라교역,"2,851","2,659","2,437","2,983"
신성이엔지,"1,598","1,769","1,852","2,512"
신성통상,"4,389","4,756","5,103","6,302"
신세계,"18,369","18,312","16,637","19,104"
신세계 I&C,"2,282","1,826","1,467","1,787"
신세계건설,"3,868","3,792","3,438","3,845"
신세계인터내셔날,"4,037","4,363","4,268","4,598"
신세계푸드,"2,145","2,839","2,471","2,718"
신송홀딩스,394,658,303,356
신영와코루,"1,517","1,496","1,784","1,703"
신영증권,"16,936","14,590","7,376","9,052"
신원,"2,738","2,726","2,731","3,484"
신일전자,630,654,720,827
신풍제약,"2,246","2,192","3,328","2,272"
신풍제지,839,"1,140",661,737
신한,381,695,314,329
신한지주,"183,742","294,330","336,620","285,714"
SHD,456,446,416,467
신흥,567,499,615,540
쌍방울,914,817,971,"2,713"
쌍용C&E,"7,808","7,467","7,080","6,292"
쌍용차,"5,711","4,975","5,467","4,394"
써니전자,237,152,470,605
씨아이테크,202,181,225,274
씨에스윈드,"3,867","4,267","5,472","10,729"
아남전자,831,889,"1,433","2,181"
아모레G,"24,896","29,059","28,531","30,155"
아모레퍼시픽,"15,672","18,031","18,257","20,185"
메타랩스,417,355,273,364
아세아,"7,009","6,715","6,580","8,007"
아세아시멘트,"4,056","3,775","3,469","4,109"
아세아제지,"2,803","2,689","2,905","3,592"
아시아나항공,"15,136","15,608","23,862","25,653"
아이마켓코리아,"8,651","8,691","8,668","8,349"
아이에스동서,"12,712","17,017","22,685","21,247"
오렌지라이프,"5,654","5,601","5,393","5,501"
HDC랩스,"1,517","1,421","1,929","3,195"
우리금융캐피탈,"3,830","3,232","3,584","3,959"
인바이오젠,240,327,858,319
알루코,"2,607","2,751","2,821","3,340"
알보젠코리아,"1,122","1,282","1,091",894
폴루스바이오팜,61,113,105,103
애경케미칼,"3,028","2,981","2,962","6,048"
에넥스,"1,082",834,716,718
에스엘,"8,877","13,992","14,404","16,013"
에스원,"6,615","7,332","7,977","8,644"
에쓰씨엔지니어링,"1,453","1,564",204,769
에이리츠,686,749,275,792
에이블씨엔씨,"2,648","2,004","1,383","1,224"
에이엔피,390,341,437,258
에이프로젠제약,873,"2,135","3,365","3,535"
엔씨소프트,"15,764","20,879","24,444","24,526"
엔에스쇼핑,"1,231","1,128","2,100","1,712"
엔케이,722,490,709,717
플레이그램,226,266,400,"1,139"
영보화학,739,763,731,762
