종목_list,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
오리온,"1,911","3,784","6,222","8,474"
오리온홀딩스,"2,666","2,914","3,457","4,055"
웰바이오텍,-618,-780,"-1,454","-1,627"
용평리조트,"1,546","1,369","1,193","1,275"
팜젠사이언스,123,107,203,530
우리들휴브레인,-323,-371,-259,-181
우성,"1,506","1,633","1,671","1,618"
우신시스템,714,942,778,658
우진,343,224,546,448
우진플라임,470,330,410,625
웅진,847,-852,"-1,122",-886
웅진씽크빅,"1,248",936,"2,052","2,372"
원림,645,674,829,829
윌비스,25,-339,-360,-439
유니드,"6,512","7,115","7,758","9,286"
유니온,997,810,944,"1,016"
유니온머티리얼,362,351,314,318
유니켐,107,257,349,368
유니퀘스트,"1,626","1,850","2,048","2,640"
유성기업,"2,371","2,498","2,402","2,444"
유수홀딩스,303,337,"2,216","2,335"
유안타증권, , , , 
와이투솔루션,-206,-406,-802,-899
유엔젤,236,186,180,319
유유제약,397,427,419,365
유진투자증권, , , , 
유한양행,"15,354","15,454","16,913","18,003"
율촌화학,"3,118","3,177","3,236","3,216"
이건산업,"1,185","1,172","1,168","1,253"
이노션,"6,149","6,551","6,885","7,113"
이마트,"27,727","27,943","30,711","45,780"
이수페타시스,"1,168",168,7,-54
이수화학,605,316,-594,-232
이아이디,-62,-94,-206,-205
이엔플러스,-186,-565,-703,-901
이연제약,"2,063","2,030","2,002","2,023"
이화산업,525,479,455,925
인디에프,6,-30,-245,-441
인스코비,-501,-730,-637,-584
인지컨트롤스,"1,821","1,763","1,729","1,758"
인천도시가스,"1,371","1,420","1,488","1,485"
인터지스,660,391,454,657
인팩,993,909,927,938
일동제약,174,-49,149,-820
일동홀딩스,326,73,-106,-815
일성건설,124,135,148,193
일신방직,"6,845","6,867","6,982","7,582"
일양약품,-10,210,314,435
일정실업,315,180,139,64
일진다이아,882,961,979,"1,011"
일진디스플,749,442,71,-365
일진머티리얼즈,"1,098","1,638","2,030","2,570"
일진전기,"1,271","1,302","1,358","1,493"
일진홀딩스,"1,292","1,377","1,294","2,247"
잇츠한불,"1,388","1,310","1,154",964
자화전자,"2,516","2,479","2,443","2,647"
전방,-109,-425,59,63
제이에스코퍼레이션,831,843,814,"1,235"
제이준코스메틱,377,-466,-684,"-1,070"
제일기획,"11,429","11,958","12,716","13,453"
제일약품,189,-12,28,-104
제일연마,806,849,870,907
제일파마홀딩스,"2,612","1,646","1,758","1,722"
제주항공,"1,627","1,058","-1,971","-3,115"
조광페인트,"1,636","1,621","1,662","1,392"
조선내화,"5,011","5,180","5,377","5,600"
종근당,"1,426","1,890","2,722","3,021"
종근당바이오,"1,092","1,200","1,259","1,189"
종근당홀딩스,"2,404","2,812","3,548","3,644"
주연테크,-145,-191,-218,-188
지엠비코리아,"2,031","2,052","1,995","2,141"
지역난방공사,"13,907","13,610","13,848","13,979"
지코,-117,-242,-341,-504
지투알,684,799,844,979
진도,287,235,205,242
진양산업,251,306,335,371
진양폴리,116,192,195,220
진양홀딩스,"1,559","1,627","1,801","1,806"
진원생명과학,-537,-623,-816,-993
참엔지니어링,-179,-378,-331,-355
센트럴인사이트,-237,-396,-230,-295
체시스,-23,-63,-84,-110
카카오,"4,534","1,482","3,163","17,096"
케이씨,"3,821","4,280","4,948","5,430"
케이탑리츠,183,220,309,387
엘브이엠씨홀딩스,"1,979","1,470","1,157","1,119"
코리아써키트,"2,214","2,294","2,378","2,965"
코스맥스,"1,348","1,615","1,738","2,481"
코스맥스비티아이,"1,017",994,891,"1,010"
코스모화학,"-1,013",-498,-290,-207
코아스,-1,21,9,-42
코오롱,"2,220","1,869","3,217","4,551"
코오롱글로벌,"1,898","2,130","2,787","4,083"
코오롱인더,"9,888","10,131","11,885","13,545"
코오롱플라스틱,755,758,764,986
코웨이,"9,668","9,540","13,652","17,573"
콤텍시스템,281,279,274,374
쿠쿠홀딩스,"10,611","11,210","12,069","13,317"
크라운해태홀딩스,"2,457","2,201","2,395","2,426"
키움증권,243,245,282,366
아센디오,-598,"-1,215","-1,281",-114
태경산업,"1,737","1,789","1,790","1,922"
태경케미컬,665,773,831,932
태광산업,"30,119","31,435","33,082","36,839"
태림포장,"2,421","2,234","2,255","2,409"
태양금속,622,343,234,145
태영건설,"9,193","10,068","15,498","16,175"
태평양물산,550,672,519,396
테이팩스,132,208,345,510
텔코웨어,"1,012","1,015","1,004",998
토니모리,514,442,70,9
티에이치엔,78,217,78,240
티웨이홀딩스,-170,-432,"-1,287","-2,030"
팜스코,"2,272","2,153","2,224","2,238"
팬오션,852,"2,360","3,286","8,513"
페이퍼코리아,"-1,638","-1,762","-1,212","-1,122"
평화산업,-479,-549,-628,-624
평화홀딩스,495,333,283,27
포스코스틸리온,"1,358","1,337","1,401","2,377"
포스코인터내셔널,"17,323","18,575","20,082","22,925"
풀무원,"2,590","2,247","2,426","2,472"
풍산,"7,427","7,326","8,104","10,336"
풍산홀딩스,"4,297","4,351","4,470","5,963"
KH 필룩스,313,196,-283,-271
하나투어,"1,182",969,-795,465
하이골드12호,-339,-360,-373,-322
하이스틸,701,698,683,796
하이트진로,"1,763","2,389","2,811","3,025"
하이트진로홀딩스,"5,735","5,268","5,856","6,101"
한국가스공사,"54,979","53,977","51,908","61,853"
한국공항,"2,550","2,591","2,100","2,304"
한국내화,914,940,957,"1,064"
한국단자,"6,577","6,817","7,327","7,882"
한국석유,"1,426","1,340","1,399","1,502"
한국전력,"515,191","492,021","511,336","452,470"
한국전자홀딩스,45,-90,-140,90
한국제지,"4,474","4,119","3,893","3,930"
한국주철관,"1,569","1,651","1,719","2,333"
한국카본,"2,186","2,275","2,786","2,847"
한국콜마,"2,132","2,323","3,824","4,028"
한국콜마홀딩스,"1,711","2,062","3,152","3,295"
한국타이어앤테크놀로지,"39,959","43,437","46,653","51,906"
한국앤컴퍼니,"18,843","20,086","21,515","23,025"
한국프랜지,"1,566","1,639","1,728","1,926"
한국항공우주,"4,160","5,483","6,009","6,748"
한국화장품,270,94,23,-45
한독,"2,371","2,604","2,847","2,889"
한라,"-1,374","-1,298",-217,211
한라홀딩스,"6,392","6,430","6,649","7,444"
한미글로벌,637,833,904,"1,009"
한미반도체,"2,039","2,089","2,152","2,826"
한미사이언스,"3,429","3,559","3,679","3,971"
한미약품,"2,878","3,238","3,341","3,969"
한샘,"6,679","6,945","7,383","7,748"
한섬,"8,732","9,488","10,243","11,287"
한세실업,"3,669","3,501","3,699","4,206"
한세엠케이,"1,263",801,573,270
한세예스24홀딩스,"2,431","2,537","3,115","3,369"
한솔PNS,139,165,188,219
한솔로지스틱스,947,847,927,"1,143"
한솔제지,956,"1,213","1,634","1,601"
한솔케미칼,"3,027","3,718","4,708","5,959"
한솔테크닉스,251,409,699,594
한솔홀딩스,648,886,"1,493","4,154"
한솔홈데코,478,412,417,473
한신공영,"3,195","3,830","4,873","5,333"
한신기계,557,568,593,625
한온시스템,"21,796","23,182","22,573","23,684"
한올바이오파마,-213,-31,176,264
한익스프레스,594,636,603,633
한일홀딩스,"19,400","19,376","19,737","20,064"
한일철강,"1,417","1,305","1,256","1,505"
한전KPS,"9,762","10,551","10,434","11,036"
한전기술,"4,644","4,952","5,021","5,165"
한전산업,593,686,670,686
한진,"5,904","5,731","5,777","7,273"
HJ중공업,"-20,566","-12,935","-12,180","-13,587"
한진중공업홀딩스,"-5,021","-4,734","-4,774",390
한진칼,"-3,637","-5,776","-8,402","-7,957"
한창,-0,-27,-197,-415
한화,"36,603","36,007","33,421","46,508"
한화솔루션,"44,965","41,759","44,298","50,514"
한화에어로스페이스,"13,731","14,759","15,812","18,120"
한화투자증권,18,5,5,8
해성디에스,894,"1,017","1,250","1,875"
해태제과식품,"1,989","1,558","1,753","1,710"
핸즈코퍼레이션,"2,167","2,210","2,100","1,524"
HDC현대EP,"2,457","2,589","2,701","2,767"
현대건설,"49,864","53,252","53,008","56,400"
현대건설기계,"1,256","3,069","2,983","4,085"
현대그린푸드,"11,306","11,519","12,030","12,285"
현대글로비스,"41,173","44,925","49,668","56,199"
HD현대,"33,020","31,833","22,130","17,014"
현대로템,"2,146","-1,566","-1,199",-483
현대리바트,"3,285","3,390","3,621","3,698"
현대모비스,"300,955","316,568","328,513","346,795"
현대미포조선,"18,167","18,436","18,026","16,334"
현대백화점,"35,009","36,484","36,948","38,690"
현대비앤지스틸,"3,051","3,264","3,507","4,194"
HDC,"31,458","33,921","34,851","35,704"
현대코퍼레이션,"4,257","4,335","4,746","5,043"
HMM,"-35,893","-44,771","-44,439","7,806"
현대퓨처넷,"3,673","3,948","3,582","4,431"
현대엘리베이,"2,358","2,529","2,369","3,317"
현대위아,"25,204","25,495","25,936","26,515"
현대일렉트릭,"-1,733","-4,279","-4,615","-4,998"
현대제철,"115,606","114,883","109,331","123,585"
한국조선해양,"160,437","161,806","154,191","144,672"
현대차,"664,901","682,496","689,118","731,679"
현대차증권,0,0, , 
현대코퍼레이션홀딩스,908,964,"1,095","1,176"
현대홈쇼핑,"14,093","14,652","15,544","16,378"
형지엘리트,64,37,29,42
혜인,969,"1,012","1,058","1,100"
호전실업,967,971,778,885
호텔신라,"4,754","6,270","3,418","2,886"
화성산업,"2,748","2,707","2,958","3,209"
화승코퍼레이션,"1,784","1,976","1,537","1,107"
화승엔터프라이즈,913,"1,504","1,888","1,792"
화승인더,"1,928","2,476","2,878","2,768"
화신,"2,882","2,936","2,411","2,674"
화천기공,"1,972","2,020","2,115","2,188"
환인제약,"2,400","2,541","2,732","2,954"
황금에스티,"2,122","2,283","2,439","2,718"
효성,"63,534","63,366","61,805","64,983"
효성ITX,256,266,253,285
후성,"1,019","1,080","1,170","1,390"
휠라홀딩스,"8,224","10,800","11,793","14,060"
휴비스,"2,103","1,996","2,762","2,652"
휴스틸,"2,366","2,193","2,278","2,647"
TKG휴켐스,"4,556","4,779","4,931","5,286"
흥아해운,-398,-455,-964,-801
