,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
전방,"['1,493', '1,375', '1,052', '1,337', '1,052', '27.2']","['640', '407', '2,212', '2,807']","['2,027', '2,057', '2,118', '2,147']","['3,640', '3,866', '3,734', '3,833']","['2,390', '2,553', '2,331', '2,393']"
제이에스코퍼레이션,"['2,056', '2,531', '4,028', '9,870', '4,028', '145.0']","['1,243', '1,157', '3,010', '3,596']","['329', '376', '3,236', '3,014']","['1,895', '2,016', '5,044', '5,523']","['342', '447', '3,537', '3,504']"
제이준코스메틱,"['1,320', '526', '305', '205', '305', '-32.7']","['1,371', '549', '179', '267']","['413', '682', '269', '191']","['2,149', '1,239', '879', '799']","['883', '706', '281', '197']"
제일기획,"['34,779', '34,217', '27,479', '33,257', '27,479', '21.0']","['18,016', '17,699', '17,423', '20,186']","['11,657', '10,982', '10,639', '12,242']","['21,721', '22,528', '22,425', '25,421']","['12,793', '12,960', '12,269', '14,148']"
제일약품,"['6,271', '6,714', '6,913', '7,007', '6,913', '1.4']","['2,734', '2,641', '2,775', '2,847']","['1,946', '2,085', '2,181', '2,219']","['4,029', '4,004', '4,097', '4,265']","['2,180', '2,315', '2,372', '2,591']"
제일연마,"['822', '811', '732', '797', '732', '9.0']","['536', '542', '518', '539']","['178', '142', '89', '86']","['1,015', '1,025', '987', '1,065']","['222', '185', '128', '136']"
제일파마홀딩스,"['1,427', '7,318', '7,620', '7,626', '7,620', '0.1']","['3,379', '3,136', '3,351', '3,351']","['2,810', '3,138', '3,273', '2,980']","['9,201', '8,453', '8,874', '8,924']","['3,305', '3,634', '3,881', '3,921']"
제주은행,"['1,218', '1,177', '1,101', '1,284', '1,101', '16.7']","['3,485', '3,474', '3,120', '2,928']","['\xa0', '\xa0', '\xa0', '\xa0']","['59,809', '61,929', '65,318', '69,442']","['55,079', '56,952', '60,224', '64,283']"
제주항공,"['12,594', '13,840', '3,770', '2,731', '3,770', '-27.6']","['4,782', '4,557', '3,004', '3,906']","['4,032', '5,567', '4,589', '4,883']","['10,316', '14,675', '11,686', '12,668']","['6,492', '11,424', '9,518', '10,827']"
조광페인트,"['2,095', '2,034', '2,013', '2,385', '2,013', '18.5']","['1,032', '984', '935', '1,089']","['936', '941', '966', '915']","['3,036', '3,125', '3,500', '3,470']","['1,296', '1,398', '1,476', '1,725']"
조광피혁,"['1,277', '1,082', '973', '1,042', '973', '7.1']","['824', '856', '1,050', '846']","['105', '107', '124', '125']","['2,506', '2,958', '3,432', '4,409']","['133', '208', '283', '639']"
조비,"['605', '709', '737', '846', '737', '14.9']","['430', '409', '376', '529']","['345', '316', '245', '381']","['940', '917', '879', '1,038']","['458', '437', '367', '505']"
조선내화,"['7,892', '7,572', '7,052', '7,463', '7,052', '5.8']","['3,695', '3,658', '4,507', '4,156']","['2,866', '2,804', '4,052', '4,482']","['10,306', '10,691', '12,463', '13,493']","['3,369', '3,657', '5,136', '5,607']"
조선선재,"['627', '640', '595', '682', '595', '14.5']","['1,020', '1,079', '1,067', '1,041']","['114', '91', '78', '113']","['1,150', '1,211', '1,260', '1,395']","['124', '106', '90', '131']"
조일알미늄,"['3,177', '3,118', '3,329', '4,669', '3,329', '40.3']","['1,551', '1,515', '1,412', '2,115']","['1,359', '1,359', '1,350', '1,602']","['3,561', '2,893', '2,749', '3,479']","['1,693', '1,758', '1,630', '1,811']"
조흥,"['1,681', '1,951', '2,226', '2,509', '2,226', '12.7']","['1,055', '1,178', '1,415', '1,360']","['556', '759', '1,074', '1,189']","['1,953', '2,180', '2,483', '2,676']","['698', '886', '1,151', '1,218']"
종근당,"['9,562', '10,793', '13,030', '13,436', '13,030', '3.1']","['3,903', '4,711', '6,001', '6,671']","['2,045', '2,771', '3,206', '3,202']","['7,115', '8,014', '9,463', '10,467']","['2,806', '3,264', '3,947', '4,809']"
종근당바이오,"['1,245', '1,372', '1,246', '1,422', '1,246', '14.2']","['783', '800', '884', '1,043']","['236', '450', '461', '443']","['1,845', '2,333', '2,835', '2,985']","['369', '749', '1,147', '1,370']"
종근당홀딩스,"['5,311', '7,206', '8,581', '9,260', '8,581', '7.9']","['2,887', '3,358', '3,944', '4,369']","['1,433', '2,395', '2,804', '3,177']","['8,714', '10,747', '12,585', '13,676']","['2,007', '3,347', '4,182', '5,277']"
주연테크,"['443', '419', '627', '882', '627', '40.8']","['323', '398', '414', '478']","['103', '114', '124', '84']","['607', '618', '576', '597']","['160', '190', '199', '144']"
지엠비코리아,"['4,572', '4,775', '4,458', '5,313', '4,458', '19.2']","['2,088', '2,149', '2,254', '2,592']","['1,646', '1,730', '1,836', '2,224']","['4,752', '4,869', '4,885', '5,225']","['2,441', '2,532', '2,604', '2,738']"
지역난방공사,"['24,873', '23,679', '20,989', '25,368', '20,989', '20.9']","['6,420', '5,905', '5,839', '7,115']","['9,591', '9,150', '9,209', '15,147']","['56,580', '58,926', '60,731', '65,174']","['40,978', '43,632', '42,694', '46,942']"
지코,"['796', '783', '707', '731', '707', '3.3']","['144', '181', '139', '93']","['200', '383', '487', '102']","['637', '738', '636', '478']","['369', '545', '541', '155']"
지투알,"['5,382', '5,421', '3,756', '4,585', '3,756', '22.1']","['5,949', '4,623', '4,891', '5,162']","['4,915', '3,538', '3,772', '3,943']","['6,328', '5,037', '5,304', '5,649']","['5,024', '3,608', '3,850', '4,037']"
진도,"['1,201', '779', '545', '590', '545', '8.2']","['1,036', '889', '739', '816']","['547', '434', '302', '346']","['1,607', '1,451', '1,285', '1,364']","['560', '450', '314', '358']"
진양산업,"['594', '618', '643', '764', '643', '18.7']","['198', '239', '319', '308']","['126', '106', '202', '204']","['507', '545', '707', '779']","['153', '135', '273', '304']"
진양폴리,"['301', '351', '371', '531', '371', '43.0']","['71', '83', '98', '124']","['130', '73', '82', '98']","['350', '434', '448', '481']","['160', '168', '179', '186']"
진양홀딩스,"['2,418', '2,253', '2,115', '2,248', '2,115', '6.3']","['1,553', '1,298', '1,393', '1,650']","['1,023', '932', '1,014', '1,145']","['4,962', '5,139', '5,480', '5,661']","['1,371', '1,413', '1,593', '1,760']"
진양화학,"['497', '445', '433', '348', '433', '-19.6']","['128', '105', '122', '88']","['76', '81', '80', '51']","['400', '375', '383', '337']","['112', '108', '107', '83']"
진에어,"['10,107', '9,102', '2,718', '2,472', '2,718', '-9.0']","['4,270', '3,533', '1,613', '1,943']","['2,337', '3,064', '1,875', '2,007']","['5,195', '7,044', '5,568', '6,016']","['2,533', '5,127', '4,586', '4,288']"
진원생명과학,"['343', '412', '415', '387', '415', '-6.8']","['382', '366', '1,088', '1,332']","['188', '227', '367', '345']","['493', '512', '1,366', '2,495']","['199', '271', '381', '440']"
진흥기업,"['6,712', '5,465', '3,772', '4,442', '3,772', '17.8']","['2,864', '2,183', '1,634', '1,995']","['2,285', '1,486', '1,094', '1,041']","['3,662', '3,258', '2,829', '3,346']","['2,874', '2,284', '1,641', '1,637']"
참엔지니어링,"['2,067', '1,125', '1,687', '1,506', '1,687', '-10.7']","['2,086', '1,677', '4,683', '4,219']","['1,098', '850', '947', '774']","['7,697', '7,154', '7,506', '6,991']","['6,853', '6,363', '6,638', '6,135']"
천일고속,"['565', '596', '312', '293', '312', '-5.8']","['128', '121', '155', '148']","['99', '178', '88', '62']","['804', '800', '670', '627']","['185', '290', '291', '268']"
센트럴인사이트,"['360', '412', '292', '182', '292', '-37.8']","['378', '176', '74', '104']","['420', '345', '108', '85']","['725', '511', '207', '324']","['482', '440', '116', '103']"
체시스,"['556', '502', '429', '142', '218', '-34.8']","['221', '180', '204', '173']","['453', '358', '303', '299']","['886', '819', '812', '767']","['619', '591', '479', '462']"
카카오,"['24,170', '30,701', '41,568', '61,367', '41,568', '47.6']","['28,590', '28,297', '44,629', '81,022']","['19,093', '21,338', '26,276', '52,461']","['79,595', '87,373', '119,540', '227,796']","['23,324', '29,971', '45,262', '91,896']"
카프로,"['5,793', '4,402', '2,547', '5,824', '2,547', '128.7']","['2,234', '1,937', '1,341', '2,168']","['1,391', '1,449', '1,527', '2,080']","['4,331', '3,644', '3,121', '3,953']","['1,634', '1,799', '1,883', '2,693']"
케이씨,"['5,261', '5,119', '5,764', '5,538', '5,764', '-3.9']","['2,748', '3,304', '4,349', '4,025']","['1,054', '1,027', '1,273', '1,153']","['5,744', '6,805', '8,734', '9,645']","['1,581', '1,732', '2,144', '2,172']"
케이씨텍,"['3,573', '2,653', '3,199', '3,445', '3,199', '7.7']","['2,119', '2,312', '2,977', '3,217']","['554', '471', '565', '640']","['3,135', '3,376', '4,073', '4,530']","['566', '491', '595', '679']"
케이탑리츠,"['110', '143', '212', '320', '212', '50.9']","['87', '86', '123', '94']","['596', '792', '1,081', '1,055']","['2,022', '2,108', '2,295', '2,489']","['1,383', '1,423', '1,508', '1,614']"
KTis,"['4,508', '4,510', '4,536', '4,680', '4,536', '3.2']","['1,272', '1,277', '1,263', '1,244']","['605', '771', '874', '1,039']","['2,292', '3,118', '2,943', '3,694']","['690', '1,436', '1,269', '1,776']"
엘브이엠씨홀딩스,"['2,940', '3,637', '2,742', '1,442', '2,157', '-33.1']","['3,676', '3,277', '3,041', '2,623']","['2,270', '2,803', '2,292', '2,162']","['6,537', '6,788', '6,477', '6,878']","['2,940', '3,529', '2,890', '2,523']"
코리아써키트,"['5,358', '5,434', '9,021', '14,242', '9,021', '57.9']","['2,328', '2,257', '4,899', '6,162']","['872', '614', '3,158', '3,336']","['5,005', '4,797', '9,217', '10,646']","['1,127', '884', '3,554', '4,126']"
코리아오토글라스,"['4,448', '4,387', '4,560', '3,216', '3,336', '-3.6']","['2,188', '2,714', '2,289', '2,458']","['1,691', '1,851', '1,062', '949']","['5,238', '5,643', '4,979', '5,086']","['2,056', '2,193', '1,370', '1,286']"
코리안리,"['98,925', '106,699', '113,010', '109,155', '113,010', '-3.4']","['4,455', '5,847', '6,430', '6,938']","['\xa0', '\xa0', '\xa0', '\xa0']","['107,509', '117,331', '125,199', '131,157']","['85,132', '92,771', '100,640', '105,899']"
코스맥스,"['12,597', '13,307', '13,829', '15,915', '13,829', '15.1']","['5,958', '6,183', '6,226', '7,922']","['6,504', '7,164', '7,181', '7,877']","['10,615', '12,044', '11,890', '14,119']","['8,197', '8,879', '9,171', '9,465']"
코스맥스비티아이,"['4,383', '4,684', '5,259', '5,760', '5,259', '9.5']","['2,068', '2,353', '2,466', '2,740']","['4,096', '4,375', '4,243', '4,228']","['8,798', '8,927', '8,816', '9,547']","['5,200', '5,367', '5,493', '6,128']"
코스모신소재,"['5,340', '2,439', '2,043', '3,059', '2,043', '49.8']","['753', '1,010', '1,540', '1,193']","['1,096', '770', '1,487', '824']","['2,373', '2,648', '3,623', '3,485']","['1,491', '1,137', '1,855', '1,430']"
코스모화학,"['6,781', '4,068', '3,555', '5,126', '3,555', '44.2']","['1,254', '1,518', '2,037', '1,992']","['2,010', '1,795', '2,640', '2,552']","['4,930', '5,170', '6,685', '6,813']","['3,305', '2,858', '4,185', '3,785']"
코아스,"['1,086', '1,129', '982', '1,108', '982', '12.8']","['384', '358', '298', '339']","['517', '466', '447', '556']","['785', '773', '732', '793']","['551', '520', '492', '603']"
코오롱,"['43,245', '42,844', '48,902', '54,104', '48,902', '10.6']","['12,555', '13,203', '13,520', '14,228']","['19,318', '20,913', '22,101', '20,468']","['34,739', '36,186', '37,081', '39,663']","['26,447', '28,967', '28,491', '29,149']"
코오롱글로벌,"['33,583', '34,841', '39,282', '47,495', '39,282', '20.9']","['9,485', '9,939', '11,159', '11,705']","['12,579', '12,858', '15,388', '14,282']","['20,334', '22,054', '24,699', '25,757']","['15,867', '17,504', '19,836', '19,624']"
코오롱머티리얼,"['955', '993', '681', '423', '424', '-0.2']","['1,121', '721', '382', '380']","['1,447', '490', '439', '442']","['2,067', '1,250', '1,080', '1,053']","['1,545', '544', '506', '513']"
코오롱인더,"['44,598', '44,072', '39,703', '46,621', '39,703', '17.4']","['19,552', '20,791', '18,700', '22,132']","['23,244', '22,450', '21,544', '22,324']","['55,729', '52,931', '50,437', '56,013']","['33,643', '31,668', '27,516', '30,507']"
코오롱플라스틱,"['3,213', '3,303', '2,952', '4,053', '2,952', '37.3']","['1,208', '1,185', '1,079', '1,709']","['991', '931', '697', '1,181']","['3,410', '3,387', '3,179', '3,691']","['1,436', '1,411', '1,197', '1,485']"
코웨이,"['27,073', '30,189', '32,374', '36,643', '32,374', '13.2']","['8,437', '7,669', '8,969', '11,065']","['12,343', '15,868', '14,173', '12,932']","['23,789', '28,550', '30,290', '38,006']","['12,912', '17,778', '15,390', '18,962']"
콤텍시스템,"['1,252', '2,388', '2,386', '3,825', '2,386', '60.3']","['875', '1,189', '1,310', '2,400']","['330', '626', '764', '1,573']","['1,135', '1,615', '1,853', '3,491']","['366', '666', '861', '1,816']"
쿠쿠홀딩스,"['4,933', '5,283', '5,878', '6,851', '5,878', '16.6']","['2,474', '2,670', '3,263', '4,022']","['901', '948', '1,194', '1,366']","['7,470', '8,126', '9,251', '10,709']","['1,376', '1,389', '1,642', '1,842']"
크라운제과,"['3,885', '3,866', '3,815', '3,812', '3,815', '-0.1']","['1,037', '925', '986', '1,461']","['1,285', '785', '1,058', '1,233']","['3,328', '3,329', '3,270', '3,246']","['2,046', '1,909', '1,744', '1,640']"
크라운해태홀딩스,"['10,921', '9,045', '9,232', '9,282', '9,232', '0.5']","['2,810', '2,440', '2,237', '2,606']","['4,458', '4,389', '3,625', '4,194']","['12,865', '12,382', '10,934', '11,157']","['7,928', '7,783', '6,062', '6,264']"
키움증권,"['2,425', '3,024', '3,856', '5,157', '3,856', '33.7']","['52,653', '52,776', '120,124', '162,214']","['\xa0', '\xa0', '\xa0', '\xa0']","['186,643', '239,438', '375,909', '453,011']","['\xa0', '\xa0', '\xa0', '\xa0']"
아센디오,"['181', '302', '215', '216', '215', '0.3']","['805', '464', '173', '440']","['690', '637', '53', '216']","['1,242', '568', '274', '681']","['719', '663', '74', '229']"
태경산업,"['5,635', '5,196', '4,306', '5,168', '4,306', '20.0']","['1,992', '2,341', '2,167', '2,478']","['1,829', '1,618', '1,466', '1,659']","['5,427', '5,614', '5,413', '5,847']","['2,324', '2,182', '1,957', '1,992']"
태경케미컬,"['474', '418', '471', '541', '471', '14.9']","['197', '511', '520', '623']","['91', '98', '91', '105']","['1,232', '1,356', '1,407', '1,607']","['152', '171', '165', '198']"
태광산업,"['31,088', '22,607', '17,406', '25,918', '17,406', '48.9']","['20,724', '19,458', '16,286', '21,721']","['7,685', '5,626', '3,719', '5,933']","['45,027', '43,571', '40,602', '49,238']","['9,977', '8,733', '6,776', '9,515']"
태림포장,"['6,087', '5,729', '5,620', '7,129', '5,620', '26.8']","['1,520', '1,260', '1,148', '1,532']","['2,286', '2,141', '1,876', '2,046']","['6,068', '5,663', '5,668', '6,009']","['2,692', '2,454', '2,424', '2,573']"
태양금속,"['4,492', '4,709', '4,044', '4,630', '4,044', '14.5']","['2,010', '1,804', '1,837', '1,980']","['2,367', '2,446', '2,627', '2,723']","['3,963', '3,899', '4,423', '4,477']","['2,985', '3,218', '3,428', '3,553']"
태영건설,"['36,911', '29,671', '22,815', '27,517', '22,815', '20.6']","['27,908', '35,284', '25,012', '20,097']","['18,865', '26,382', '19,347', '19,641']","['49,586', '59,161', '37,983', '37,348']","['34,763', '43,447', '31,515', '30,256']"
태원물산,"['219', '219', '163', '147', '163', '-9.9']","['216', '220', '226', '220']","['39', '36', '44', '38']","['383', '382', '383', '374']","['61', '60', '67', '61']"
태평양물산,"['9,721', '9,716', '7,850', '8,929', '7,850', '13.7']","['2,947', '3,122', '3,448', '4,071']","['3,455', '3,665', '3,681', '3,251']","['5,565', '6,133', '6,760', '7,650']","['4,055', '4,290', '4,987', '6,001']"
테이팩스,"['1,085', '1,126', '1,188', '1,549', '1,188', '30.4']","['304', '471', '661', '749']","['422', '178', '389', '260']","['1,602', '1,450', '1,626', '1,808']","['671', '443', '482', '495']"
텔코웨어,"['421', '418', '364', '348', '364', '-4.3']","['908', '705', '823', '783']","['122', '146', '117', '111']","['1,258', '1,274', '1,231', '1,222']","['151', '163', '131', '128']"
토니모리,"['1,810', '1,720', '1,135', '1,146', '1,135', '1.0']","['1,005', '1,208', '780', '656']","['574', '904', '900', '657']","['2,042', '2,409', '1,942', '2,021']","['987', '1,423', '1,270', '1,068']"
트러스제7호,"['32', '29', '31', '15', '15', '0.0']","['46', '49', '59', '74']","['574', '572', '560', '569']","['1,026', '1,025', '1,028', '1,040']","['594', '595', '595', '606']"
티에이치엔,"['3,728', '4,022', '3,464', '4,027', '3,464', '16.3']","['1,104', '1,382', '1,395', '1,771']","['1,377', '1,478', '1,318', '1,748']","['2,124', '2,654', '2,796', '3,399']","['1,721', '2,024', '2,128', '2,522']"
티웨이홀딩스,"['7,375', '8,173', '2,769', '2,267', '2,769', '-18.1']","['3,410', '2,737', '1,370', '1,255']","['1,770', '2,626', '2,116', '2,641']","['4,975', '8,710', '7,661', '8,053']","['2,126', '6,252', '6,284', '7,160']"
시디즈,"['1,410', '1,929', '2,275', '2,519', '2,275', '10.7']","['460', '421', '585', '499']","['458', '308', '407', '200']","['720', '671', '958', '848']","['469', '350', '470', '234']"
파미셀,"['284', '325', '378', '509', '378', '34.8']","['325', '347', '429', '665']","['33', '55', '65', '249']","['591', '633', '697', '958']","['116', '117', '126', '305']"
팜스코,"['10,157', '11,650', '13,339', '15,369', '13,339', '15.2']","['4,118', '4,433', '4,683', '6,138']","['4,860', '6,321', '5,909', '7,606']","['8,832', '9,792', '9,893', '11,076']","['5,733', '6,793', '6,822', '7,937']"
팬오션,"['26,684', '24,679', '24,972', '46,161', '24,972', '84.9']","['6,922', '6,795', '6,625', '13,587']","['6,705', '7,091', '6,043', '11,494']","['41,195', '44,542', '46,593', '64,888']","['14,591', '15,546', '18,527', '28,919']"
퍼스텍,"['1,310', '1,263', '1,321', '1,367', '1,321', '3.5']","['723', '956', '900', '1,025']","['798', '1,285', '1,119', '1,198']","['1,607', '1,821', '1,807', '1,856']","['1,212', '1,548', '1,359', '1,422']"
퍼시스,"['3,157', '3,048', '2,869', '3,265', '2,869', '13.8']","['2,595', '2,549', '2,193', '2,809']","['626', '344', '344', '706']","['4,842', '4,818', '4,989', '5,755']","['636', '379', '380', '780']"
페이퍼코리아,"['4,123', '2,656', '4,841', '4,353', '4,841', '-10.1']","['3,377', '3,729', '2,490', '2,411']","['4,218', '3,354', '2,914', '1,957']","['5,884', '6,279', '5,089', '4,972']","['5,606', '6,148', '4,808', '4,518']"
평화산업,"['3,358', '3,533', '3,386', '4,241', '3,386', '25.3']","['934', '1,039', '1,152', '1,229']","['1,397', '1,369', '1,475', '1,410']","['1,784', '1,942', '2,032', '2,201']","['1,562', '1,607', '1,776', '1,941']"
평화홀딩스,"['5,560', '5,811', '5,211', '6,277', '5,211', '20.5']","['1,970', '2,047', '2,741', '2,646']","['2,876', '3,485', '3,588', '3,467']","['4,954', '5,029', '5,223', '5,181']","['3,562', '3,789', '4,031', '4,170']"
포스코스틸리온,"['9,403', '9,167', '9,073', '13,473', '9,073', '48.5']","['2,519', '3,078', '3,054', '4,323']","['1,964', '2,519', '2,303', '2,614']","['4,542', '5,034', '4,854', '5,864']","['2,355', '2,823', '2,581', '2,640']"
포스코인터내셔널,"['251,739', '244,226', '214,724', '339,489', '214,724', '58.1']","['59,802', '50,323', '47,646', '71,552']","['54,211', '35,612', '33,974', '56,693']","['98,810', '89,594', '83,280', '107,707']","['69,915', '59,114', '51,672', '72,586']"
풀무원,"['22,720', '23,815', '23,112', '25,189', '23,112', '9.0']","['4,705', '4,678', '6,304', '7,110']","['5,252', '6,212', '7,768', '8,038']","['12,169', '14,846', '16,936', '19,694']","['7,713', '10,215', '11,806', '13,796']"
풍산,"['27,745', '24,513', '25,936', '35,095', '25,936', '35.3']","['13,616', '12,452', '13,020', '18,595']","['8,398', '7,633', '7,473', '11,088']","['26,681', '25,625', '25,520', '31,483']","['12,888', '11,787', '11,056', '14,626']"
풍산홀딩스,"['3,061', '2,644', '2,659', '4,878', '2,659', '83.4']","['1,796', '2,417', '2,341', '1,964']","['1,016', '1,680', '1,981', '865']","['8,793', '9,386', '9,753', '10,520']","['1,659', '2,163', '2,474', '1,557']"
KH 필룩스,"['1,100', '1,351', '1,188', '1,202', '1,188', '1.2']","['1,380', '1,284', '1,036', '1,571']","['1,325', '1,398', '1,035', '1,059']","['3,041', '4,168', '3,831', '5,394']","['1,441', '1,444', '1,131', '1,121']"
하나금융지주,"['56,372', '57,737', '64,399', '74,372', '64,399', '15.5']","['243,070', '237,193', '275,298', '314,066']","['\xa0', '\xa0', '\xa0', '\xa0']","['3,850,086', '4,214,671', '4,609,470', '5,024,453']","['3,579,002', '3,924,823', '4,293,468', '4,669,459']"
하나니켈1호,"['\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']"
하나니켈2호,"['\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']"
하나투어,"['8,283', '6,146', '1,096', '403', '1,096', '-63.3']","['4,977', '4,082', '2,083', '1,662']","['4,136', '4,075', '1,733', '1,725']","['7,161', '10,076', '7,033', '4,306']","['4,762', '7,897', '5,779', '3,728']"
하이골드12호,"['81', '105', '74', '34', '60', '-43.3']","['8', '9', '27', '367']","['46', '70', '44', '41']","['369', '364', '343', '367']","['46', '70', '44', '41']"
하이골드3호,"['32', '47', '31', '22', '31', '-29.0']","['373', '9', '25', '460']","['49', '82', '75', '62']","['373', '333', '289', '460']","['49', '82', '75', '62']"
하이골드8호,"['56', '14', '13', '14', '13', '7.7']","['534', '21', '393', '346']","['75', '69', '99', '125']","['534', '389', '393', '346']","['75', '69', '99', '125']"
하이스틸,"['1,705', '2,143', '1,617', '2,262', '1,617', '39.9']","['807', '832', '865', '926']","['580', '592', '849', '688']","['2,330', '2,343', '2,397', '2,597']","['1,046', '1,067', '1,136', '1,219']"
하이트론,"['415', '373', '273', '275', '273', '0.7']","['401', '338', '242', '402']","['258', '268', '264', '213']","['648', '556', '614', '474']","['303', '385', '470', '267']"
하이트진로,"['18,856', '20,351', '22,563', '22,029', '22,563', '-2.4']","['10,650', '7,823', '8,994', '13,043']","['16,685', '13,589', '14,356', '18,368']","['34,281', '32,709', '32,978', '36,311']","['22,658', '22,377', '22,235', '25,379']"
하이트진로홀딩스,"['18,767', '20,263', '22,470', '21,920', '22,470', '-2.4']","['10,837', '8,051', '9,178', '13,188']","['21,885', '16,587', '18,387', '23,548']","['39,893', '38,367', '39,050', '42,363']","['28,935', '28,541', '28,446', '31,489']"
한국가스공사,"['261,850', '249,826', '208,337', '275,208', '208,337', '32.1']","['99,249', '92,328', '75,279', '131,477']","['98,712', '89,005', '72,128', '140,217']","['396,897', '393,119', '359,098', '436,699']","['311,917', '311,653', '281,746', '345,506']"
한국공항,"['5,261', '5,038', '3,032', '3,455', '3,032', '14.0']","['2,015', '2,037', '2,004', '1,771']","['478', '497', '843', '396']","['4,244', '4,647', '4,254', '3,839']","['1,053', '1,417', '1,528', '938']"
한국금융지주,"['7,043', '8,191', '10,439', '11,522', '10,439', '10.4']","['103,697', '74,224', '119,966', '153,049']","['\xa0', '\xa0', '\xa0', '\xa0']","['640,037', '607,663', '704,377', '820,366']","['591,057', '557,333', '648,054', '746,085']"
한국내화,"['2,397', '2,224', '2,037', '2,717', '2,037', '33.4']","['678', '702', '667', '1,246']","['311', '539', '205', '666']","['2,046', '2,093', '2,028', '3,579']","['751', '688', '586', '1,041']"
한국단자,"['7,464', '7,721', '8,025', '9,622', '8,025', '19.9']","['4,189', '3,994', '4,856', '5,514']","['1,302', '1,225', '1,634', '1,948']","['8,605', '8,856', '9,852', '11,252']","['1,696', '1,754', '2,210', '2,830']"
한국석유,"['4,813', '4,854', '4,840', '6,289', '4,840', '29.9']","['1,525', '1,416', '1,664', '1,788']","['1,088', '875', '1,390', '1,285']","['3,073', '2,928', '3,165', '3,421']","['1,596', '1,541', '1,725', '1,882']"
한국쉘석유,"['2,198', '2,118', '2,003', '2,414', '2,003', '20.5']","['1,199', '1,106', '1,203', '1,386']","['450', '420', '483', '528']","['1,446', '1,411', '1,486', '1,657']","['450', '432', '505', '562']"
한국유리,"['2,980', '3,306', '3,454', '3,057', '2,529', '20.9']","['2,001', '2,850', '4,237', '2,902']","['55', '64', '121', '82']","['6,785', '7,107', '8,529', '7,196']","['708', '697', '698', '905']"
한국자산신탁,"['2,266', '2,233', '2,401', '2,125', '2,401', '-11.5']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['10,081', '12,375', '12,076', '12,647']","['\xa0', '\xa0', '\xa0', '\xa0']"
한국전력,"['606,276', '591,729', '585,693', '605,748', '585,693', '3.4']","['197,451', '194,830', '205,619', '220,508']","['218,415', '242,317', '258,812', '317,322']","['1,852,491', '1,975,978', '2,031,421', '2,111,089']","['1,141,563', '1,287,081', '1,324,753', '1,457,970']"
한국전자홀딩스,"['2,342', '2,170', '2,215', '3,312', '2,215', '49.5']","['1,733', '1,610', '1,913', '2,305']","['855', '1,004', '956', '1,127']","['3,908', '3,899', '4,122', '4,636']","['1,267', '1,476', '2,047', '1,537']"
한국제지,"['6,779', '7,234', '7,166', '2,031', '1,770', '14.7']","['3,649', '3,856', '3,793', '3,843']","['2,149', '2,439', '2,692', '2,537']","['7,714', '7,582', '8,506', '8,650']","['2,508', '2,717', '3,635', '3,718']"
한국종합기술,"['1,909', '2,189', '2,882', '2,683', '2,882', '-6.9']","['907', '1,379', '1,354', '1,313']","['920', '1,463', '1,571', '1,637']","['2,279', '2,998', '3,321', '3,394']","['1,263', '1,845', '1,946', '1,971']"
한국주강,"['391', '363', '339', '453', '339', '33.7']","['136', '128', '139', '196']","['133', '116', '145', '202']","['603', '485', '465', '502']","['152', '163', '164', '221']"
한국주철관,"['4,174', '4,372', '3,283', '5,102', '3,283', '55.4']","['1,752', '1,746', '1,873', '2,277']","['763', '686', '656', '627']","['3,520', '3,567', '3,575', '4,231']","['831', '786', '731', '762']"
한국철강,"['7,775', '7,191', '6,334', '8,867', '6,334', '40.0']","['6,124', '5,724', '5,763', '6,122']","['1,778', '1,288', '1,549', '1,662']","['9,090', '8,732', '8,688', '9,087']","['1,918', '1,483', '1,719', '1,865']"
한국카본,"['2,267', '2,734', '4,117', '3,678', '4,117', '-10.6']","['1,901', '2,213', '2,563', '2,478']","['475', '667', '753', '940']","['3,601', '3,976', '4,783', '4,984']","['564', '849', '978', '1,094']"
한국콜마,"['13,579', '13,789', '13,221', '15,863', '13,221', '20.0']","['5,552', '6,460', '7,752', '8,829']","['5,173', '7,074', '6,868', '8,886']","['21,864', '24,003', '24,896', '26,060']","['13,766', '15,524', '14,904', '12,465']"
한국콜마홀딩스,"['5,617', '4,995', '6,755', '6,740', '6,755', '-0.2']","['2,301', '3,071', '4,059', '3,199']","['2,169', '3,494', '3,625', '3,011']","['8,817', '10,919', '12,185', '12,097']","['3,863', '4,913', '4,309', '3,551']"
한국타이어앤테크놀로지,"['67,951', '68,833', '64,531', '71,411', '64,531', '10.7']","['36,638', '41,137', '46,882', '55,092']","['20,226', '21,311', '17,810', '18,692']","['97,964', '101,646', '106,585', '117,039']","['30,061', '29,774', '32,464', '34,988']"
