,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
고려제강,"['15,772', '16,397', '13,974', '16,914', '13,974', '21.0']","['9,494', '9,162', '8,578', '10,778']","['6,901', '6,405', '5,873', '6,012']","['23,875', '23,466', '22,457', '24,743']","['9,304', '8,758', '7,828', '8,362']"
상상인증권,"['9', '-5', '29', '53', '29', '83.7']","['697', '829', '799', '818']","['\xa0', '\xa0', '\xa0', '\xa0']","['4,998', '4,714', '5,133', '5,825']","['\xa0', '\xa0', '\xa0', '\xa0']"
광동제약,"['11,802', '12,383', '12,438', '13,382', '12,438', '7.6']","['4,591', '5,260', '5,845', '5,878']","['2,714', '3,084', '3,022', '3,255']","['7,321', '7,928', '8,306', '8,838']","['3,012', '3,453', '3,285', '3,566']"
광명전기,"['1,126', '1,319', '1,235', '1,371', '1,235', '11.0']","['700', '871', '1,030', '1,126']","['363', '451', '499', '491']","['1,518', '1,567', '1,659', '1,699']","['531', '513', '561', '548']"
광전자,"['1,769', '1,662', '1,502', '1,738', '1,502', '15.7']","['1,308', '1,275', '1,183', '1,210']","['232', '226', '247', '218']","['2,621', '2,603', '2,434', '2,390']","['377', '379', '421', '283']"
광주신세계,"['1,352', '1,549', '1,475', '1,700', '1,475', '15.2']","['775', '1,032', '1,424', '2,135']","['748', '757', '708', '912']","['6,962', '7,524', '7,844', '8,523']","['755', '912', '862', '1,065']"
광주은행,"['4,020', '4,710', '5,525', '2,949', '2,672', '10.4']","['10,951', '10,539', '11,301', '11,662']","['55', '\xa0', '\xa0', '\xa0']","['197,763', '226,195', '234,191', '234,036']","['3', '0', '1', '\xa0']"
교보증권,"['1,138', '1,260', '1,572', '1,848', '1,572', '17.6']","['6,502', '9,383', '11,517', '17,049']","['\xa0', '\xa0', '\xa0', '\xa0']","['73,412', '79,239', '101,111', '114,838']","['\xa0', '\xa0', '\xa0', '\xa0']"
국도화학,"['12,806', '11,214', '11,327', '15,771', '11,327', '39.2']","['4,512', '4,387', '4,536', '8,046']","['2,696', '2,309', '2,475', '4,820']","['8,544', '9,054', '9,306', '14,164']","['3,548', '3,709', '3,783', '6,014']"
국동,"['2,196', '2,231', '2,534', '2,270', '2,534', '-10.4']","['838', '895', '1,330', '1,031']","['632', '429', '843', '526']","['1,230', '1,333', '1,807', '1,685']","['750', '688', '969', '661']"
