,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
62,LIG넥스원,"14,775","14,527","16,003","18,222","14,198","13,809","15,457","14,859","13,059","12,375","13,804","14,811","23,221","23,175","25,956","25,768","16,720","16,835","19,231","18,135",-0.5,0.2,0.1,2.4,4.1,"3,270","3,107","3,580","4,439"
63,LS,"100,927","101,518","104,443","130,891","59,775","60,164","66,922","74,855","39,566","39,734","43,405","51,739","104,903","107,635","116,605","126,259","61,307","64,922","72,120","79,157",3.7,4.8,0.9,1.7,2.9,"28,318","28,086","29,003","31,575"
64,LS네트웍스,"4,459","4,028","3,349","3,905","2,597","2,677","2,779","2,801","2,105","1,701","5,938","1,714","12,736","11,736","12,284","13,094","6,355","6,543","7,352","7,557",1.6,1.3,-5.7,-2.1,4.7,"2,682","1,987","1,740","2,345"
65,LS ELECTRIC,"24,850","23,468","24,027","26,683","15,361","16,669","16,498","18,877","7,002","7,538","6,442","8,453","24,058","25,381","25,404","27,967","11,084","11,755","11,269","13,233",4.7,5.7,4.2,3.4,3.2,"11,833","12,464","12,981","13,569"
66,LS전선아시아,"4,413","5,203","5,796","7,506","2,402","2,447","3,062","3,813","1,895","1,917","2,482","3,076","3,496","3,597","4,166","4,953","2,060","1,984","2,677","3,229",5.1,3.4,4.8,2.1,3.5,281,392,410,496
67,MH에탄올,728,809,946,"1,021",296,328,377,521,"1,411","2,824","1,461","2,973","4,402","4,515","4,497","4,515","3,486","3,721","3,693","3,668",1.5,-2.6,-1.7,0.8,1.9,642,611,655,684
68,NAVER,"55,869","43,562","53,041","68,176","53,856","56,437","105,447","55,279","26,197","37,731","79,118","39,233","98,812","122,995","170,142","336,910","39,321","57,956","87,591","96,636",10.7,7.0,3.6,5.8,65.0,"52,292","57,121","66,548","230,804"
69,NHN,"12,646","14,886","16,412","19,237","10,063","10,587","10,869","13,599","5,625","5,328","5,588","7,197","24,947","25,003","25,509","30,272","6,746","6,716","7,068","9,286",0.4,4.5,0.9,1.1,4.7,"3,862","4,002","4,341","6,538"
70,NH투자증권,"6,393","6,350","6,960","7,697","72,257","59,606","70,886","90,399", , , , ,"534,226","500,751","627,384","585,420", , , , ,3.8,9.5,18.8,11.7,10.5,62,70,52,52
71,NICE,"14,702","18,738","20,555","24,499","12,084","15,015","15,453","16,971","9,176","11,317","12,328","15,107","21,730","25,648","27,304","30,838","11,330","13,412","14,808","17,633",5.9,5.1,3.3,2.0,3.5,"4,080","4,274","4,352","4,868"
73,NPC,"4,149","4,545","4,313","4,869","1,734","1,664","1,656","1,576","1,225",995,983,"1,345","3,928","4,038","4,106","5,000","1,318","1,196","1,152","1,768",3.0,3.1,3.6,4.6,5.8,"2,216","2,349","2,496","2,715"
74,OCI,"31,121","26,051","20,025","32,440","20,187","21,607","20,360","33,390","10,929","8,458","8,597","12,365","56,596","48,112","44,372","57,041","21,670","21,255","20,515","25,803",3.8,1.8,-15.4,-5.4,12.9,"25,288","17,041","14,548","20,927"
75,POSCO홀딩스,"649,778","643,668","577,928","763,323","336,510","348,424","358,308","466,216","189,380","163,237","168,550","210,836","782,483","790,587","790,870","914,716","314,887","312,640","314,124","366,667",3.8,2.4,2.5,2.3,8.4,"442,160","450,801","461,115","515,329"
76,SNT에너지,"1,395","2,133","2,374","1,711","1,555","2,050","2,037","1,997",316,675,809,662,"2,810","3,339","3,354","3,321",497,889,996,873,1.4,0.6,5.0,2.9,3.8,"1,873","2,024","2,037","2,111"
77,SNT모티브,"9,189","9,763","9,407","9,417","6,801","6,259","6,439","6,663","2,815","2,411","2,741","2,347","11,965","10,389","10,929","11,498","3,717","3,029","3,322","2,922",4.8,4.7,0.3,5.1,7.1,"6,130","5,990","6,262","6,950"
78,SNT중공업,"3,963","3,751","3,018","3,360","4,137","4,114","3,841","4,483","1,180","1,063","1,213","1,243","8,457","8,414","8,334","8,796","2,382","2,243","2,359","2,267",-3.6,2.4,2.0,1.0,6.9,"5,686","5,782","5,759","6,282"
79,SNT홀딩스,"14,013","15,121","14,358","14,041","11,680","12,665","12,420","13,275","3,816","4,056","4,614","4,125","21,138","22,367","22,705","23,723","6,106","6,107","6,530","5,922",1.2,3.5,5.7,3.5,6.5,"4,721","5,280","5,556","6,267"
80,S-Oil,"254,633","243,942","168,297","274,639","58,545","56,289","49,965","83,774","57,890","57,487","65,651","85,050","159,550","163,334","156,905","186,932","94,858","98,368","100,080","117,052",8.6,1.7,0.4,-5.0,8.0,"48,231","48,482","40,357","53,337"
