name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
동아에스티,4.87,26.28,11.29,5.85,의약품 제조업,21.41,-5.44
동아지질,26.05,23.84,4.71,7.2,기반조성 및 시설물 축조관련 전문공사업,-2.21,2.49
동양,5.59,2.79,-6.46,6.87,시멘트,-2.8,13.33
동양고속,4.02,59.15,-28.96,-45.87,육상 여객 운송업,55.13,-16.91
비케이탑스,-25.87,-91.67,-197.05,-108.22,컴퓨터 프로그래밍,-65.8,88.83
TYM,-12.19,4.25,4.75,20.85,특수 목적용 기계 제조업,16.44,16.1
동양철관,-12.58,4.96,16.31,-5.93,1차 철강 제조업,17.54,-22.24
동양피스톤,14.03,11.47,-5.29,8.81,자동차용 엔진 및 자동차 제조업,-2.56,14.1
동원F&B,16.79,17.54,18.91,15.41,기타 식품 제조업,0.75,-3.5
동원금속,-10.99,11.93,-18.42,11.85,자동차 신품 부품 제조업,22.92,30.27
동원시스템즈,19.95,15.51,18.55,13.23,플라스틱제품 제조업,-4.44,-5.32
동일고무벨트,14.97,12.59,11.9,9.74,고무제품 제조업,-2.38,-2.16
DI동일,7.37,7.26,11.39,18.64,상품 중개업,-0.11,7.25
동일산업,19.62,9.9,13.05,38.47,1차 철강 제조업,-9.72,25.42
동화약품,13.64,12.57,27.62,18.95,의약품 제조업,-1.07,-8.67
두산,-3.19,5.6,-10.38,8.38,회사 본부 및 경영 컨설팅 서비스업,8.79,18.76
두산밥캣,15.65,15.44,13.78,18.28,특수 목적용 기계 제조업,-0.21,4.5
HSD엔진,-5.63,-16.91,3.58,-16.45,일반 목적용 기계 제조업,-11.28,-20.03
현대두산인프라코어,13.44,12.76,8.9,24.31,특수 목적용 기계 제조업,-0.68,15.41
두산중공업,-4.92,-0.76,-10.56,9.37,일반 목적용 기계 제조업,4.16,19.93
두올,16.88,14.51,7.13,14.85,자동차 신품 부품 제조업,-2.37,7.72
디아이,26.41,3.1,10.96,23.47,측정,-23.31,12.51
디아이씨,-2.25,-22.45,-56.59,16.37,자동차 신품 부품 제조업,-20.2,72.96
디와이,13.11,17.12,3.91,7.32,기타 금융업,4.01,3.41
디와이파워,35.57,27.18,33.35,35.99,특수 목적용 기계 제조업,-8.39,2.64
디티알오토모티브,27.15,29.32,20.84,25.63,일차전지 및 축전지 제조업,2.17,4.79
스틱인베스트먼트,23.99,21.01,31.36,68.23,신탁업 및 집합투자업,-2.98,36.87
락앤락,20.71,12.27,10.17,11.57,플라스틱제품 제조업,-8.44,1.4
롯데관광개발,-81.6,-9.13,-31.03,-53.75,여행사 및 기타 여행보조 서비스업,72.47,-22.72
롯데쇼핑,-3.84,-7.74,-5.84,-1.53,종합 소매업,-3.9,4.31
롯데정밀화학,47.08,36.61,41.85,88.46,기초 화학물질 제조업,-10.47,46.61
롯데지주,2.45,-4.71,-3.46,4.08,기타 금융업,-7.16,7.54
롯데칠성,-3.0,-12.64,0.13,14.75,비알코올음료 및 얼음 제조업,-9.64,14.62
롯데케미칼,29.66,15.49,6.17,25.54,기초 화학물질 제조업,-14.17,19.37
롯데푸드,15.14,13.07,21.15,3.18,낙농제품 및 식용빙과류 제조업,-2.07,-17.97
