종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
디티알오토모티브,"8,708","9,117","9,618","14,850"
스틱인베스트먼트,"1,937","2,209","2,495","3,420"
락앤락,"7,394","7,999","7,832","8,297"
롯데관광개발,"5,068","5,750","11,985","13,024"
롯데손해보험,"142,150","162,673","163,482","189,112"
롯데쇼핑,"262,593","339,726","328,294","334,265"
롯데정밀화학,"17,000","17,927","18,746","27,235"
롯데제과,"25,427","27,162","26,430","26,666"
롯데지주,"276,183","156,058","166,800","199,219"
롯데칠성,"33,113","32,565","34,661","35,968"
롯데케미칼,"207,991","200,431","193,865","228,700"
롯데푸드,"12,083","13,212","12,865","12,715"
롯데하이마트,"31,171","31,076","33,492","29,435"
마니커,"1,933","1,830","1,921","1,965"
만도,"44,373","45,956","49,383","57,044"
만호제강,"2,453","2,461","2,559","2,583"
맥쿼리인프라, , , , 
쎌마테라퓨틱스,195,154,334,287
메리츠금융지주,"522,052","617,641","695,644","820,309"
메리츠증권,"311,618","381,099","438,470","541,082"
메리츠화재,"204,788","232,157","253,593","276,890"
명문제약,"2,431","2,644","2,430","2,227"
모나리자,775,771,913,940
모나미,"1,706","2,007","1,957","2,025"
모두투어리츠,804,"1,088","1,080","1,098"
모토닉,"4,324","4,409","4,424","4,480"
무림P&P,"13,560","13,503","14,304","14,836"
무림페이퍼,"20,143","21,585","21,950","22,844"
무학,"6,190","6,246","5,988","6,466"
문배철강,"1,517","1,953","1,877","2,098"
미래산업,687,748,958,"1,177"
미래아이앤지,576,723,923,997
미래에셋증권,"1,180,855","1,331,498","1,309,469","1,086,418"
미래에셋생명,"346,405","380,155","406,290","419,973"
미원상사,"2,455","2,807","3,290","3,724"
미원에스씨,"2,767","3,119","3,271","4,381"
미원홀딩스,"2,220","3,152","3,313","4,268"
미원화학,978,"1,191","1,253","1,338"
미창석유,"2,832","2,954","3,118","3,476"
바다로19호,478,461,400,474
방림,"2,369","2,369","2,571","2,474"
백광산업,"2,977","3,288","3,227","3,592"
태경비케이,"2,938","3,014","2,959","3,324"
백산,"2,947","3,306","2,911","3,302"
범양건영,"1,184","1,385","1,581","1,985"
베트남개발1, , , , 
벽산,"4,746","4,627","4,644","5,054"
보락,533,556,541,563
보령제약,"4,500","5,076","6,480","8,286"
보해양조,"2,005","1,631","1,491","1,531"
부광약품,"4,936","3,885","4,010","3,974"
부국증권,"14,351","14,813","16,089","16,474"
부국철강,"1,238","1,223","1,322","1,507"
부산가스,"9,783","10,367","12,675","11,260"
부산산업,"1,336","1,360","1,290","1,338"
부산주공,"3,015","2,821","2,498","2,397"
비상교육,"2,543","2,862","2,632","2,715"
빙그레,"6,539","6,849","7,641","7,602"
사조대림,"7,209","10,709","11,241","11,398"
사조동아원,"4,682","4,669","4,464","4,488"
사조산업,"11,760","11,374","10,874","11,139"
사조씨푸드,"3,803","3,481","3,116","3,369"
사조오양,"3,083","3,112","3,187","3,159"
사조해표,"3,695","3,803","4,001","4,080"
SGC에너지,"7,591","6,959","26,754","25,916"
삼부토건,"4,131","4,207","4,888","5,514"
삼성SDI,"193,497","198,521","215,342","258,332"
삼성공조,"2,602","2,584","2,582","2,575"
삼성물산,"424,067","459,055","543,317","552,454"
삼성바이오로직스,"59,804","59,116","64,242","79,700"
삼성생명,"2,894,277","3,127,623","3,365,693","3,413,826"
삼성에스디에스,"80,138","90,212","91,549","105,174"
삼성엔지니어링,"46,196","45,657","47,556","60,587"
삼성전기,"86,449","86,742","92,255","99,414"
삼성전자,"3,393,572","3,525,645","3,782,357","4,266,212"
삼성제약,"1,606","1,685","1,787","1,455"
삼성중공업,"142,829","136,001","129,222","121,386"
삼성증권,"383,306","447,296","638,697","657,075"
삼성출판사,"1,907","2,416","2,924","3,387"
삼성카드,"230,421","220,382","233,989","271,442"
삼성화재,"793,907","851,722","925,964","949,340"
삼아알미늄,"1,967","2,085","2,075","2,272"
삼양사,"21,739","23,882","25,765","28,020"
삼양식품,"4,121","4,704","5,562","7,531"
삼양통상,"3,275","3,717","4,221","4,590"
삼양패키징,"5,460","5,639","5,645","6,125"
삼양홀딩스,"33,138","35,895","38,936","44,606"
삼영무역,"3,865","5,173","5,332","5,788"
삼영전자,"5,080","5,027","5,139","5,436"
삼영화학,"1,052","1,070","1,090","1,177"
삼원강재,"2,538","2,495","2,580","2,707"
삼익THK,"3,567","3,926","3,876","3,782"
삼익악기,"5,944","6,129","6,224","5,853"
삼일제약,"1,479","1,839","1,917","2,264"
삼정펄프,"2,018","2,063","2,328","2,394"
삼진제약,"2,526","2,442","2,690","3,325"
삼천리,"36,994","39,124","38,599","42,453"
DL건설,"7,961","8,517","14,984","16,696"
삼호개발,"2,769","2,988","3,128","2,969"
삼화왕관,"1,718","2,387","2,461","2,433"
삼화전기,"1,282","1,252","1,370","1,586"
삼화전자,643,604,550,669
삼화콘덴서,"2,200","2,148","2,350","2,693"
삼화페인트,"5,580","5,606","5,943","6,121"
상신브레이크,"4,293","4,523","4,400","4,936"
새론오토모티브,"2,671","2,555","2,481","2,684"
샘표,"3,209","3,386","3,812","4,427"
샘표식품,"2,055","2,258","2,686","3,275"
서연,"26,963","22,154","21,510","21,379"
서연이화,"16,962","18,205","18,038","17,905"
서울가스,"13,686","15,834","16,897","16,626"
서울식품,774,760,748,723
서원,"2,201","2,220","2,260","2,934"
서흥,"6,391","7,089","7,660","8,100"
선도전기,"1,491","1,670","1,756","1,679"
선진,"9,172","9,833","11,197","12,096"
SUN&L,"6,253","5,436","5,284","5,662"
성문전자,433,425,404,544
성보화학,"1,834","1,724","1,592","1,722"
성신양회,"10,614","10,294","10,903","11,216"
성안,"2,885","3,114","2,450","1,416"
성지건설,979,936,"1,095","1,250"
성창기업지주,"6,487","7,033","7,074","7,037"
세기상사,427,416,405,464
세방,"9,889","11,160","11,646","12,453"
세방전지,"12,679","15,107","15,143","16,844"
세아베스틸,"37,189","35,769","32,804","35,260"
세아제강지주,"24,454","24,485","23,156","28,990"
세아특수강,"5,000","5,732","5,524","6,511"
