종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
미래산업,161,47,193,291
미래아이앤지,14,16,17,33
미래에셋증권, , , , 
미래에셋생명, , , , 
미원상사,342,355,356,466
미원에스씨,351,404,440,970
미원홀딩스,489,500,664,"1,097"
미원화학,20,103,54,54
미창석유,317,318,275,392
바다로19호,18,13,10,9
방림,417,371,485,468
백광산업,"1,052",940,841,"1,255"
태경비케이,726,699,532,660
백산,"1,315","1,559","1,352","1,482"
범양건영,591,400,553,731
베트남개발1, , , , 
벽산,"1,218","1,340","1,468","1,578"
보락,42,54,42,48
보령제약,"1,297","1,392","1,229","1,560"
보해양조,750,554,534,443
부광약품,382,359,612,370
부국증권, , , , 
부국철강,113,91,185,302
부산가스,"2,370","2,472","2,245","1,156"
부산산업,480,484,404,431
부산주공,"1,666","1,654","1,476","1,762"
비상교육,438,646,553,675
빙그레,957,943,"1,263","1,600"
사조대림,"3,202","4,709","4,966","5,233"
사조동아원,"2,788","2,332","2,143","2,304"
사조산업,"4,239","3,696","3,505","3,842"
사조씨푸드,"1,375",886,528,900
사조오양,"1,243","1,199","1,133","1,057"
사조해표,"2,177","2,084","2,152","2,197"
SGC에너지,"4,170","3,495","13,856","11,158"
삼부토건,"1,461","1,333","2,304","2,538"
삼성SDI,"40,128","37,415","49,836","64,613"
삼성공조,411,350,320,349
삼성물산,"130,168","109,294","108,896","116,753"
삼성바이오로직스,"7,105","6,905","5,893","11,073"
삼성생명, , , , 
삼성에스디에스,"15,748","16,982","17,208","23,703"
삼성엔지니어링,"33,782","29,775","29,611","38,527"
삼성전기,"25,096","18,504","19,149","22,347"
삼성전자,"690,815","637,828","756,044","881,171"
삼성제약,247,223,502,167
삼성중공업,"62,671","70,891","75,339","70,583"
삼성증권, , , , 
삼성출판사,556,707,608,625
삼성카드,271,109,99,50
삼성화재, , , , 
삼아알미늄,761,864,791,926
삼양사,"4,738","4,001","4,657","7,492"
삼양식품,"1,387","1,495","1,636","1,824"
삼양통상,255,309,334,408
삼양패키징,679,783,"1,285","1,796"
삼양홀딩스,"6,565","5,271","6,820","10,028"
삼영무역,349,839,825,861
삼영전자,254,164,204,293
삼영화학,482,525,506,569
삼원강재,436,345,403,478
삼익THK,"1,055","1,275","1,182","1,171"
삼익악기,"2,125","1,525","2,354","2,076"
삼일제약,853,682,987,"1,217"
삼정펄프,178,196,165,209
삼진제약,384,307,339,495
삼천리,"7,585","9,733","7,305","9,135"
DL건설,"3,099","3,576","5,450","5,489"
삼호개발,862,954,898,624
삼화왕관,174,304,330,322
삼화전기,542,473,513,555
삼화전자,328,327,288,353
삼화콘덴서,853,534,479,527
삼화페인트,"1,529","2,177","2,079","2,181"
상신브레이크,"1,904","2,045","2,106","2,630"
새론오토모티브,270,263,232,253
샘표,551,554,560,846
샘표식품,525,537,562,832
서연,"13,935","11,336","10,364","9,826"
서연이화,"8,649","9,624","9,120","8,692"
서울가스,"1,961","3,316","3,833","3,623"
서울식품,397,317,313,330
서원,"1,040","1,048",898,"1,000"
서흥,"1,939","1,963","2,673","2,364"
선도전기,248,404,372,442
선진,"4,678","5,075","6,090","6,610"
SUN&L,"2,718","2,293","2,343","3,059"
성문전자,129,124,116,117
성보화학,143,166,130,270
성신양회,"4,970","4,387","4,727","4,726"
성안,"1,551","1,688","1,809",661
성지건설, , , , 
성창기업지주,767,950,888,897
세기상사,74,9,75,128
세방,"1,103","1,744","1,889","2,295"
세방전지,"2,750","4,282","3,539","4,316"
세아베스틸,"9,818","7,358","7,569","9,109"
세아제강지주,"8,089","7,698","6,707","9,285"
세아특수강,"1,627","2,249","1,882","2,726"
세아홀딩스,"15,298","13,629","13,634","17,375"
세우글로벌,107,56,41,43
세원이앤씨,"1,200","1,139","1,273","1,032"
세원정공,845,712,437,400
세이브존I&C,875,823,599,597
세종공업,"4,676","5,313","6,719","6,879"
세진중공업,"1,939","2,022","1,651","2,414"
세하,"1,220","1,166",729,703
다이나믹디자인,"1,298","1,126",377,565
송원산업,"3,767","2,934","2,931","4,440"
수산중공업,491,542,"1,175","1,065"
한국수출포장,427,387,386,507
스카이라이프,"1,124","1,235","1,532","2,497"
신대양제지,"1,478","1,037","1,196","1,125"
신도리코,633,625,573,649
신라교역,587,811,898,"1,081"
신성이엔지,"2,720","2,775","2,046","2,250"
신성통상,"3,557","4,528","4,197","4,846"
신세계,"32,448","31,730","36,090","35,705"
신세계 I&C,"1,117",891,649,698
신세계건설,"4,820","5,338","5,000","5,430"
신세계인터내셔날,"2,462","2,923","3,002","2,038"
신세계푸드,"1,867","2,605","2,467","1,771"
신송홀딩스,359,642,394,541
신영와코루,256,273,455,540
신영증권, , , , 
신원,"2,031","1,391","1,358","1,948"
신일전자,336,285,352,390
신풍제약,"1,462","1,340",833,286
신풍제지,"1,078","1,144",55,38
신한,687,"1,254",760,785
신한지주, , , , 
SHD,285,296,227,242
신흥,400,445,506,362
쌍방울,"1,446","1,479","1,055","1,449"
쌍용C&E,"5,274","6,821","4,542","6,652"
쌍용차,"9,951","9,871","12,601","13,461"
써니전자,45,70,14,83
씨아이테크,135,162,326,229
씨에스윈드,"2,258","3,138","3,322","5,727"
아남전자,779,851,"1,313","1,840"
아모레G,"8,976","12,259","11,702","12,733"
아모레퍼시픽,"7,632","10,666","9,659","11,575"
메타랩스,292,246,164,256
아세아,"4,075","3,670","3,637","4,828"
아세아시멘트,"2,263","2,340","2,194","3,041"
아세아제지,"1,712","1,297","1,384","1,687"
아시아나항공,"33,693","45,584","52,472","52,393"
아이마켓코리아,"6,041","6,047","6,314","6,445"
아이에스동서,"8,105","8,525","11,568","14,997"
오렌지라이프, , ,10, 
HDC랩스,718,676,536,"1,317"
우리금융캐피탈, , , , 
인바이오젠,6,243,181,778
알루코,"3,841","4,035","3,663","3,675"
알보젠코리아,360,365,421,349
폴루스바이오팜,"1,211",884,820,822
애경케미칼,"1,474","1,212","1,261","4,819"
에넥스,855,656,596,575
에스엘,"5,397","7,294","7,741","8,985"
에스원,"3,061","3,841","4,129","4,173"
에쓰씨엔지니어링,"1,774","1,461",451,659
에이리츠,174,95,32,421
에이블씨엔씨,653,967,665,639
에이엔피,351,403,370,331
에이프로젠제약,620,108,87,94
엔씨소프트,"4,731","4,498","5,093","6,634"
엔에스쇼핑,"2,194","1,523","4,255","4,112"
엔케이,759,508,447,267
플레이그램,20,8,57,768
영보화학,322,336,271,246
영원무역,"4,694","6,229","5,950","5,252"
영원무역홀딩스,"5,243","6,712","6,488","5,958"
영진약품,381,398,301,483
영풍,"7,100","6,685","7,892","10,108"
영풍제지,260,170,175,194
영화금속,775,644,731,993
영흥,900,979,"1,351","2,274"
예스코홀딩스,"4,329","4,500","5,400","4,222"
오뚜기,"5,217","5,248","5,702","7,013"
오리엔트바이오,149,135,152,221
오리온,"5,003","4,645","3,455","5,219"
오리온홀딩스,"5,430","4,954","4,382","6,410"
웰바이오텍,342,328,417,"1,018"
용평리조트,"1,871","2,233","3,467","2,014"
팜젠사이언스,330,303,377,711
우리들휴브레인,425,332,588,533
우리은행, ,72,678,741
우리종금,274,347,366,218
우성,966,"1,466","1,232","1,521"
우신시스템,"1,589","1,670","1,898","1,945"
우진,380,311,532,282
우진플라임,"1,018","1,651","1,659","1,608"
웅진,"4,977","25,576","7,621","5,885"
웅진씽크빅,"3,218","19,632","2,861","3,701"
웅진에너지,"1,249","1,765","2,150","2,189"
원림,273,301,315,267
윌비스,"1,499","1,605","1,630","1,658"
유나이티드제약,601,587,598,609
유니드,"3,075","2,371","2,606","2,871"
유니온,"1,248","1,306","1,173","1,246"
유니온머티리얼,495,542,617,667
유니켐,539,596,892,"1,282"
유니퀘스트,"1,133","1,275","1,367","1,701"
유성기업,391,440,725,519
유수홀딩스,822,"1,687",992,739
유안타증권, , , , 
와이투솔루션,769,805,792,281
유엔젤,101,89,92,69
유유제약,278,425,184,300
유진투자증권, , , , 
유한양행,"3,497","3,522","3,822","4,320"
유화증권, , , , 
율촌화학,"1,959","1,299","1,598","1,696"
이건산업,"1,666","1,542","1,189","1,504"
이구산업,"1,369","1,426","1,518","1,829"
이노션,"9,340","10,630","10,518","11,819"
이마트,"49,983","54,063","59,882","98,170"
이수페타시스,"2,683","3,026","2,950","2,982"
이수화학,"4,150","4,771","5,082","5,218"
이스타코,330,233,170,239
이아이디,57,647,646,"2,516"
이엔플러스,517,380,272,291
이연제약,425,330,488,475
이월드,664,629,570,"1,168"
이화산업,509,899,"1,018",337
인디에프,666,672,809,718
인스코비,140,128,264,425
인지컨트롤스,"2,173","2,302","2,253","2,464"
인천도시가스,960,928,587,872
인터지스,"1,744","1,477","1,147","1,538"
인팩,"1,376","1,536","1,693","1,846"
일동제약,"1,629","2,118","1,850","3,641"
일동홀딩스,817,"3,244","3,411","5,393"
일성건설,"1,789","2,158","1,412","1,637"
일성신약,159,183,168,207
일신방직,"1,192","1,315","1,554","1,794"
일신석재,201,142,206,299
일양약품,"1,837","1,803","1,771","1,982"
일정실업,242,230,107,198
일진다이아,440,479,369,729
일진디스플,682,673,766,796
일진머티리얼즈,"1,090","1,010","1,086","1,486"
일진전기,"3,709","2,731","2,776","3,671"
일진홀딩스,"5,078","3,925","3,782","5,325"
잇츠한불,519,574,389,337
자화전자,733,672,665,"1,372"
전방,"2,027","2,057","2,118","2,147"
제이에스코퍼레이션,329,376,"3,236","3,014"
제이준코스메틱,413,682,269,191
제일기획,"11,657","10,982","10,639","12,242"
제일약품,"1,946","2,085","2,181","2,219"
제일연마,178,142,89,86
제일파마홀딩스,"2,810","3,138","3,273","2,980"
제주은행, , , , 
