종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
에스엘,"7,076","8,949","9,138","10,490"
에스원,"4,205","4,674","5,225","5,301"
에쓰씨엔지니어링,"2,218","2,186",489,719
에이리츠,602,602,64,583
에이블씨엔씨,693,"1,769",980,850
에이엔피,746,753,632,521
에이프로젠제약,666,176,170,174
엔씨소프트,"5,623","8,342","9,365","14,307"
엔에스쇼핑,"3,728","4,943","7,319","7,548"
엔케이,846,544,507,280
플레이그램,26,14,69,778
영보화학,326,341,272,247
영원무역,"9,758","11,356","10,443","11,134"
영원무역홀딩스,"10,820","12,137","11,154","11,705"
영진약품,845,847,737,892
영풍,"12,142","11,342","12,887","16,187"
영풍제지,278,198,756,776
영화금속,"1,388","1,312","1,239","1,507"
영흥,"1,266","1,445","1,911","3,210"
예스코홀딩스,"8,647","9,353","10,428","8,894"
오뚜기,"7,878","8,056","8,974","10,674"
오리엔트바이오,214,234,230,293
오리온,"9,068","7,848","7,679","8,279"
오리온홀딩스,"11,655","10,287","10,028","10,909"
웰바이오텍,348,442,514,"1,035"
용평리조트,"3,986","4,542","5,341","4,552"
팜젠사이언스,413,438,520,934
우리들휴브레인,429,339,622,569
우리은행,"25,808","30,100","31,501","20,072"
우리종금, , , , 
우성,"1,230","1,627","1,361","1,724"
우신시스템,"1,867","1,983","2,243","2,204"
우진,800,671,738,702
우진플라임,"2,210","2,152","2,068","1,942"
웅진,"5,342","26,366","8,979","8,455"
웅진씽크빅,"3,343","19,818","2,914","3,981"
웅진에너지,"2,280","1,955","2,283","2,323"
원림,374,468,439,348
윌비스,"1,728","1,792","1,857","1,834"
유나이티드제약,735,761,765,793
유니드,"4,564","3,675","3,388","3,546"
유니온,"1,593","1,824","1,784","1,825"
유니온머티리얼,657,888,"1,013","1,028"
유니켐,557,810,"1,822","2,079"
유니퀘스트,"1,325","1,353","1,433","1,818"
유성기업,852,905,"1,162","1,049"
유수홀딩스,"2,095","1,934","1,099",937
유안타증권, , , , 
와이투솔루션,867,922,813,309
유엔젤,102,108,131,95
유유제약,484,472,379,643
