,Unnamed: 0,종목,2018_당좌비율,2019_당좌비율,2020_당좌비율,2021_당좌비율,2018_부채비율,2019_부채비율,2020_부채비율,2021_부채비율,2018_이자보상비율,2019_이자보상비율,2020_이자보상비율,2021_이자보상비율
46,65,LS ELECTRIC,191.3,195.1,228.6,192.4,85.4,86.3,79.7,89.8,12.2,10.6,9.1,10.4
47,66,LS전선아시아,77.2,67.4,75.0,63.4,143.4,123.1,179.8,187.3,4.1,5.4,4.0,7.3
48,67,MH에탄올,16.3,8.7,20.1,14.4,380.6,468.7,459.1,433.0,0.1,0.7,1.3,1.9
49,68,NAVER,203.4,148.1,133.2,140.7,66.1,89.1,106.1,40.2,68.7,69.8,56.1,29.4
50,69,NHN,172.2,191.6,185.9,182.2,37.1,36.7,38.3,44.3,53.4,16.5,16.8,16.0
51,70,NH투자증권,68.8,67.1,62.4,59.2,957.1,828.7,981.2,758.0,11684.0,12316.0,13873.0,16809.0
52,71,NICE,120.9,125.5,118.2,103.2,108.9,109.6,118.5,133.5,14.4,8.5,8.1,7.1
53,72,NI스틸,22.2,22.9,24.4,29.6,129.5,133.3,136.6,140.4,4.5,3.6,6.3,9.8
54,73,NPC,107.4,130.3,140.0,92.5,50.5,42.1,39.0,54.7,8.0,11.0,17.4,17.0
55,75,POSCO홀딩스,117.0,146.6,158.9,149.0,67.3,65.4,65.9,66.9,7.5,5.1,3.8,21.0
56,77,SNT모티브,194.3,205.6,190.2,224.3,45.1,41.2,43.7,34.1,421550.5,1008.2,1965.4,1518.2
57,78,SNT중공업,280.4,304.2,244.3,291.3,39.2,36.3,39.5,34.7,11.6,31.9,18.6,42.9
58,79,SNT홀딩스,248.4,255.6,222.3,266.4,40.6,37.6,40.4,33.3,59.8,184.1,153.0,215.9
59,81,SBS,233.6,181.8,271.7,176.7,68.5,92.8,104.7,102.6,1.0,2.0,11.3,33.4
60,86,SIMPAC,87.8,91.6,88.9,112.2,56.7,53.9,58.9,65.2,4.1,3.5,2.6,29.8
61,87,SJM,306.7,294.4,319.3,247.3,20.2,26.0,29.5,29.3,364.3,14.3,12.1,14.6
62,88,SJM홀딩스,355.9,343.6,331.6,270.6,18.7,22.2,24.4,24.8,5.7,8.4,8.2,10.6
63,90,SKC,51.5,58.2,52.5,75.8,126.2,130.1,182.3,170.8,3.9,2.5,2.4,6.1
64,91,SK가스,86.9,85.1,135.0,134.7,128.6,145.8,137.0,141.9,2.8,4.2,5.1,2.6
65,92,SK네트웍스,60.0,71.5,55.8,67.1,236.1,339.8,290.8,293.9,6.1,1.1,1.1,1.2
66,93,SK디앤디,60.6,67.1,54.1,70.7,328.4,286.5,222.2,210.3,5.7,2.4,2.9,4.1
67,95,SK증권,59.8,62.4,55.0,51.1,594.1,626.0,823.0,929.8,2069.0,2076.0,2275.0,2372.0
68,96,SK디스커버리,84.0,94.2,142.2,114.7,107.3,115.2,114.9,124.2,2.2,3.1,3.8,1.4
69,97,SK텔레콤,112.0,100.9,105.2,88.3,89.6,98.1,96.4,150.6,3.9,2.7,4.3,5.0
70,98,SK하이닉스,118.7,115.1,115.0,121.6,35.9,36.1,37.1,55.0,220.3,11.1,19.8,47.7
71,99,SPC삼립,50.9,54.3,46.9,54.3,139.6,270.7,290.1,265.0,12.0,5.4,4.7,7.1
72,101,STX엔진,79.6,68.1,59.6,50.0,290.6,248.8,203.7,194.9,1.4,2.0,1.2,0.4
