종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액
제일약품,"6,271","6,714","6,913","7,007"
제일연마,822,811,732,797
제일파마홀딩스,"1,427","7,318","7,620","7,626"
제주은행,"1,218","1,177","1,101","1,284"
제주항공,"12,594","13,840","3,770","2,731"
조광페인트,"2,095","2,034","2,013","2,385"
조광피혁,"1,277","1,082",973,"1,042"
조비,605,709,737,846
조선내화,"7,892","7,572","7,052","7,463"
조선선재,627,640,595,682
조일알미늄,"3,177","3,118","3,329","4,669"
조흥,"1,681","1,951","2,226","2,509"
종근당,"9,562","10,793","13,030","13,436"
종근당바이오,"1,245","1,372","1,246","1,422"
종근당홀딩스,"5,311","7,206","8,581","9,260"
주연테크,443,419,627,882
지엠비코리아,"4,572","4,775","4,458","5,313"
지역난방공사,"24,873","23,679","20,989","25,368"
지코,796,783,707,731
지투알,"5,382","5,421","3,756","4,585"
진도,"1,201",779,545,590
진양산업,594,618,643,764
진양폴리,301,351,371,531
진양홀딩스,"2,418","2,253","2,115","2,248"
진양화학,497,445,433,348
진에어,"10,107","9,102","2,718","2,472"
진원생명과학,343,412,415,387
진흥기업,"6,712","5,465","3,772","4,442"
참엔지니어링,"2,067","1,125","1,687","1,506"
천일고속,565,596,312,293
센트럴인사이트,360,412,292,182
체시스,556,502,429,142
카카오,"24,170","30,701","41,568","61,367"
카프로,"5,793","4,402","2,547","5,824"
케이씨,"5,261","5,119","5,764","5,538"
케이씨텍,"3,573","2,653","3,199","3,445"
케이탑리츠,110,143,212,320
KTis,"4,508","4,510","4,536","4,680"
엘브이엠씨홀딩스,"2,940","3,637","2,742","1,442"
코리아써키트,"5,358","5,434","9,021","14,242"
코리아오토글라스,"4,448","4,387","4,560","3,216"
코리안리,"98,925","106,699","113,010","109,155"
코스맥스,"12,597","13,307","13,829","15,915"
코스맥스비티아이,"4,383","4,684","5,259","5,760"
코스모신소재,"5,340","2,439","2,043","3,059"
코스모화학,"6,781","4,068","3,555","5,126"
코아스,"1,086","1,129",982,"1,108"
코오롱,"43,245","42,844","48,902","54,104"
코오롱글로벌,"33,583","34,841","39,282","47,495"
코오롱머티리얼,955,993,681,423
코오롱인더,"44,598","44,072","39,703","46,621"
코오롱플라스틱,"3,213","3,303","2,952","4,053"
코웨이,"27,073","30,189","32,374","36,643"
콤텍시스템,"1,252","2,388","2,386","3,825"
쿠쿠홀딩스,"4,933","5,283","5,878","6,851"
크라운제과,"3,885","3,866","3,815","3,812"
크라운해태홀딩스,"10,921","9,045","9,232","9,282"
키움증권,"2,425","3,024","3,856","5,157"
아센디오,181,302,215,216
태경산업,"5,635","5,196","4,306","5,168"
태경케미컬,474,418,471,541
태광산업,"31,088","22,607","17,406","25,918"
태림포장,"6,087","5,729","5,620","7,129"
태양금속,"4,492","4,709","4,044","4,630"
태영건설,"36,911","29,671","22,815","27,517"
태원물산,219,219,163,147
태평양물산,"9,721","9,716","7,850","8,929"
테이팩스,"1,085","1,126","1,188","1,549"
텔코웨어,421,418,364,348
토니모리,"1,810","1,720","1,135","1,146"
트러스제7호,32,29,31,15
